case,k_pi,nh_from,nh_to,eta,delta_E,delta_Z,spectral_l1,rest_spectral_l1,recursion_l1,reference_certified
B,0.0,18,20,0.1,5.10702591327572e-14,8.01581023779363e-14,0.0013504926523229663,0.0049894923903313895,1.933508729392876e-11,True
B,0.0,18,20,0.2,5.10702591327572e-14,8.01581023779363e-14,2.3828199316658e-05,8.511319767474029e-05,5.708652737914632e-15,True
B,0.5,10,12,0.05,4.514429720203772e-05,7.240835754192265e-05,0.09341895613169189,0.10401969290907004,0.0011238056610508706,False
B,0.5,10,12,0.025,4.514429720203772e-05,7.240835754192265e-05,0.21817984003673824,0.24295103763733908,0.019046994097896893,False
B,0.5,10,12,0.1,4.514429720203772e-05,7.240835754192265e-05,0.031131425968733605,0.03468594543544071,7.844526587852382e-06,False
B,0.5,10,12,0.2,4.514429720203772e-05,7.240835754192265e-05,0.006557277406096869,0.007335884092358027,8.896131848936216e-10,False
B,0.5,12,14,0.05,5.371398769105085e-06,1.1014422550303937e-05,0.05689945826491558,0.06336669356859218,0.0020013309427376566,False
B,0.5,12,14,0.025,5.371398769105085e-06,1.1014422550303937e-05,0.13405211113591778,0.14932423133708952,0.028410395016462843,False
B,0.5,12,14,0.1,5.371398769105085e-06,1.1014422550303937e-05,0.018399778141853455,0.02048488894334798,2.0122438866339616e-05,False
B,0.5,12,14,0.2,5.371398769105085e-06,1.1014422550303937e-05,0.0029193850820351907,0.003251558284579866,5.36857976156667e-09,True
B,0.5,14,16,0.05,6.333612387887655e-07,1.5830654690601742e-06,0.04183738536676144,0.0465923920847476,4.227549544498666e-05,False
B,0.5,14,16,0.025,6.333612387887655e-07,1.5830654690601742e-06,0.11791840357824827,0.1313606191932791,0.0028521071478116275,False
B,0.5,14,16,0.1,6.333612387887655e-07,1.5830654690601742e-06,0.010176879742397242,0.011327134244139165,2.282812938884942e-08,False
B,0.5,14,16,0.2,6.333612387887655e-07,1.5830654690601742e-06,0.0010792698890574259,0.0012004727770390127,2.126591043686427e-14,True
B,0.5,16,18,0.05,7.410209335034779e-08,2.1868804331304226e-07,0.02731327931132525,0.03041733130015796,7.74475313823711e-05,False
B,0.5,16,18,0.025,7.410209335034779e-08,2.1868804331304226e-07,0.08929618741470739,0.09947623088029386,0.004412543749541302,False
B,0.5,16,18,0.1,7.410209335034779e-08,2.1868804331304226e-07,0.005029205058578404,0.005597228941714165,6.615440404072128e-08,False
B,0.5,16,18,0.2,7.410209335034779e-08,2.1868804331304226e-07,0.0003544033631330183,0.0003940273669633112,1.4906200778129602e-13,True
B,0.5,18,20,0.05,8.68562866074285e-09,2.955435543516849e-08,0.019206922814567238,0.021389659663879526,1.3867951900264964e-06,False
B,0.5,18,20,0.025,8.68562866074285e-09,2.955435543516849e-08,0.07647977651837673,0.08519876557832197,0.00041626276256115304,False
B,0.5,18,20,0.1,8.68562866074285e-09,2.955435543516849e-08,0.002660837843127313,0.0029613025417181017,4.430005609997619e-11,True
B,0.5,18,20,0.2,8.68562866074285e-09,2.955435543516849e-08,0.00012149931374600083,0.00013505947303544914,3.182798343402114e-15,True
B,1.0,10,12,0.05,0.0004516725165577551,0.00018432289084067965,0.15830975234363992,0.16156375911074752,0.005541366814353012,False
B,1.0,10,12,0.025,0.0004516725165577551,0.00018432289084067965,0.29373311290392745,0.2995939513670782,0.07373996259369535,False
B,1.0,10,12,0.1,0.0004516725165577551,0.00018432289084067965,0.06623416397156055,0.06768805149875885,3.748184178121125e-05,False
B,1.0,10,12,0.2,0.0004516725165577551,0.00018432289084067965,0.016824038236748426,0.017278603954591375,2.6979127257392156e-09,False
